Date,Series,Value
2019-05-01,Article Count,3
2019-05-01,Total Monitored Articles,485506
2019-05-02,Article Count,3
2019-05-02,Total Monitored Articles,549026
2019-05-03,Article Count,3
2019-05-03,Total Monitored Articles,530092
2019-05-04,Article Count,0
2019-05-04,Total Monitored Articles,355768
2019-05-05,Article Count,2
2019-05-05,Total Monitored Articles,341957
2019-05-06,Article Count,7
2019-05-06,Total Monitored Articles,515301
2019-05-07,Article Count,9
2019-05-07,Total Monitored Articles,574256
2019-05-08,Article Count,31
2019-05-08,Total Monitored Articles,582183
2019-05-09,Article Count,3
2019-05-09,Total Monitored Articles,577844
2019-05-10,Article Count,28
2019-05-10,Total Monitored Articles,554114
2019-05-11,Article Count,6
2019-05-11,Total Monitored Articles,350696
2019-05-12,Article Count,2
2019-05-12,Total Monitored Articles,317985
2019-05-13,Article Count,4
2019-05-13,Total Monitored Articles,536102
2019-05-14,Article Count,23
2019-05-14,Total Monitored Articles,585896
2019-05-15,Article Count,20
2019-05-15,Total Monitored Articles,591221
2019-05-16,Article Count,9
2019-05-16,Total Monitored Articles,591207
2019-05-17,Article Count,9
2019-05-17,Total Monitored Articles,556159
2019-05-18,Article Count,1
2019-05-18,Total Monitored Articles,353256
2019-05-19,Article Count,0
2019-05-19,Total Monitored Articles,325667
2019-05-20,Article Count,3
2019-05-20,Total Monitored Articles,527535
2019-05-21,Article Count,4
2019-05-21,Total Monitored Articles,572682
2019-05-22,Article Count,4
2019-05-22,Total Monitored Articles,586055
2019-05-23,Article Count,5
2019-05-23,Total Monitored Articles,586614
2019-05-24,Article Count,4
2019-05-24,Total Monitored Articles,554998
2019-05-25,Article Count,0
2019-05-25,Total Monitored Articles,345474
2019-05-26,Article Count,0
2019-05-26,Total Monitored Articles,339260
2019-05-27,Article Count,2
2019-05-27,Total Monitored Articles,485161
2019-05-28,Article Count,8
2019-05-28,Total Monitored Articles,552153
2019-05-29,Article Count,9
2019-05-29,Total Monitored Articles,571014
2019-05-30,Article Count,6
2019-05-30,Total Monitored Articles,554953
2019-05-31,Article Count,2
2019-05-31,Total Monitored Articles,538059
2019-06-01,Article Count,0
2019-06-01,Total Monitored Articles,349368
2019-06-02,Article Count,1
2019-06-02,Total Monitored Articles,295119
2019-06-03,Article Count,2
2019-06-03,Total Monitored Articles,520036
2019-06-04,Article Count,4
2019-06-04,Total Monitored Articles,551818
2019-06-05,Article Count,2
2019-06-05,Total Monitored Articles,545910
2019-06-06,Article Count,13
2019-06-06,Total Monitored Articles,547521
2019-06-07,Article Count,7
2019-06-07,Total Monitored Articles,518061
2019-06-08,Article Count,4
2019-06-08,Total Monitored Articles,335951
2019-06-09,Article Count,0
2019-06-09,Total Monitored Articles,305141
2019-06-10,Article Count,4
2019-06-10,Total Monitored Articles,506985
2019-06-11,Article Count,7
2019-06-11,Total Monitored Articles,566933
2019-06-12,Article Count,3
2019-06-12,Total Monitored Articles,570073
2019-06-13,Article Count,20
2019-06-13,Total Monitored Articles,565204
2019-06-14,Article Count,5
2019-06-14,Total Monitored Articles,531773
2019-06-15,Article Count,0
2019-06-15,Total Monitored Articles,330545
2019-06-16,Article Count,0
2019-06-16,Total Monitored Articles,300557
2019-06-17,Article Count,2
2019-06-17,Total Monitored Articles,469557
2019-06-18,Article Count,24
2019-06-18,Total Monitored Articles,548269
2019-06-19,Article Count,1
2019-06-19,Total Monitored Articles,546694
2019-06-20,Article Count,4
2019-06-20,Total Monitored Articles,532580
2019-06-21,Article Count,1
2019-06-21,Total Monitored Articles,514540
2019-06-22,Article Count,1
2019-06-22,Total Monitored Articles,317482
2019-06-23,Article Count,1
2019-06-23,Total Monitored Articles,278915
2019-06-24,Article Count,5
2019-06-24,Total Monitored Articles,501889
2019-06-25,Article Count,5
2019-06-25,Total Monitored Articles,533291
2019-06-26,Article Count,2
2019-06-26,Total Monitored Articles,559876
2019-06-27,Article Count,1
2019-06-27,Total Monitored Articles,559529
2019-06-28,Article Count,3
2019-06-28,Total Monitored Articles,523192
2019-06-29,Article Count,0
2019-06-29,Total Monitored Articles,332558
2019-06-30,Article Count,0
2019-06-30,Total Monitored Articles,306767
2019-07-01,Article Count,3
2019-07-01,Total Monitored Articles,501715
2019-07-02,Article Count,8
2019-07-02,Total Monitored Articles,533759
2019-07-03,Article Count,5
2019-07-03,Total Monitored Articles,545890
2019-07-04,Article Count,0
2019-07-04,Total Monitored Articles,490272
2019-07-05,Article Count,2
2019-07-05,Total Monitored Articles,477685
2019-07-06,Article Count,1
2019-07-06,Total Monitored Articles,312638
2019-07-07,Article Count,0
2019-07-07,Total Monitored Articles,299153
2019-07-08,Article Count,2
2019-07-08,Total Monitored Articles,494895
2019-07-09,Article Count,8
2019-07-09,Total Monitored Articles,532760
2019-07-10,Article Count,3
2019-07-10,Total Monitored Articles,545918
2019-07-11,Article Count,2
2019-07-11,Total Monitored Articles,543604
2019-07-12,Article Count,5
2019-07-12,Total Monitored Articles,516277
2019-07-13,Article Count,2
2019-07-13,Total Monitored Articles,324067
2019-07-14,Article Count,1
2019-07-14,Total Monitored Articles,300689
2019-07-15,Article Count,4
2019-07-15,Total Monitored Articles,496030
2019-07-16,Article Count,6
2019-07-16,Total Monitored Articles,541094
2019-07-17,Article Count,6
2019-07-17,Total Monitored Articles,550809
2019-07-18,Article Count,9
2019-07-18,Total Monitored Articles,551040
2019-07-19,Article Count,1
2019-07-19,Total Monitored Articles,511797
2019-07-20,Article Count,0
2019-07-20,Total Monitored Articles,320084
2019-07-21,Article Count,1
2019-07-21,Total Monitored Articles,298078
2019-07-22,Article Count,2
2019-07-22,Total Monitored Articles,496101
2019-07-23,Article Count,2
2019-07-23,Total Monitored Articles,542655
2019-07-24,Article Count,14
2019-07-24,Total Monitored Articles,550539
2019-07-25,Article Count,3
2019-07-25,Total Monitored Articles,542767
2019-07-26,Article Count,9
2019-07-26,Total Monitored Articles,510044
2019-07-27,Article Count,4
2019-07-27,Total Monitored Articles,320494
2019-07-28,Article Count,4
2019-07-28,Total Monitored Articles,293745
2019-07-29,Article Count,6
2019-07-29,Total Monitored Articles,488126
2019-07-30,Article Count,2
2019-07-30,Total Monitored Articles,536137
2019-07-31,Article Count,7
2019-07-31,Total Monitored Articles,551657
2019-08-01,Article Count,6
2019-08-01,Total Monitored Articles,544051
2019-08-02,Article Count,9
2019-08-02,Total Monitored Articles,499653
2019-08-03,Article Count,3
2019-08-03,Total Monitored Articles,312326
2019-08-04,Article Count,4
2019-08-04,Total Monitored Articles,299125
2019-08-05,Article Count,0
2019-08-05,Total Monitored Articles,483118
2019-08-06,Article Count,5
2019-08-06,Total Monitored Articles,526808
2019-08-07,Article Count,2
2019-08-07,Total Monitored Articles,540520
2019-08-08,Article Count,4
2019-08-08,Total Monitored Articles,534809
2019-08-09,Article Count,3
2019-08-09,Total Monitored Articles,510275
2019-08-10,Article Count,2
2019-08-10,Total Monitored Articles,319632
2019-08-11,Article Count,0
2019-08-11,Total Monitored Articles,286034
2019-08-12,Article Count,1
2019-08-12,Total Monitored Articles,460999
2019-08-13,Article Count,4
2019-08-13,Total Monitored Articles,494778
2019-08-14,Article Count,11
2019-08-14,Total Monitored Articles,511339
2019-08-15,Article Count,7
2019-08-15,Total Monitored Articles,483144
2019-08-16,Article Count,3
2019-08-16,Total Monitored Articles,488425
2019-08-17,Article Count,0
2019-08-17,Total Monitored Articles,312833
2019-08-18,Article Count,0
2019-08-18,Total Monitored Articles,293299
2019-08-19,Article Count,3
2019-08-19,Total Monitored Articles,482115
2019-08-20,Article Count,2
2019-08-20,Total Monitored Articles,512041
2019-08-21,Article Count,5
2019-08-21,Total Monitored Articles,533452
2019-08-22,Article Count,3
2019-08-22,Total Monitored Articles,529087
2019-08-23,Article Count,0
2019-08-23,Total Monitored Articles,499521
2019-08-24,Article Count,1
2019-08-24,Total Monitored Articles,329635
2019-08-25,Article Count,0
2019-08-25,Total Monitored Articles,298799
2019-08-26,Article Count,1
2019-08-26,Total Monitored Articles,474152
2019-08-27,Article Count,1
2019-08-27,Total Monitored Articles,523306
2019-08-28,Article Count,4
2019-08-28,Total Monitored Articles,538641
2019-08-29,Article Count,7
2019-08-29,Total Monitored Articles,534574
2019-08-30,Article Count,5
2019-08-30,Total Monitored Articles,501716
2019-08-31,Article Count,2
2019-08-31,Total Monitored Articles,321579
2019-09-01,Article Count,1
2019-09-01,Total Monitored Articles,302842
2019-09-02,Article Count,1
2019-09-02,Total Monitored Articles,439231
2019-09-03,Article Count,3
2019-09-03,Total Monitored Articles,510643
2019-09-04,Article Count,2
2019-09-04,Total Monitored Articles,543845
2019-09-05,Article Count,5
2019-09-05,Total Monitored Articles,532554
2019-09-06,Article Count,6
2019-09-06,Total Monitored Articles,507294
2019-09-07,Article Count,3
2019-09-07,Total Monitored Articles,312530
2019-09-08,Article Count,1
2019-09-08,Total Monitored Articles,294714
2019-09-09,Article Count,0
2019-09-09,Total Monitored Articles,489879
2019-09-10,Article Count,4
2019-09-10,Total Monitored Articles,534367
2019-09-11,Article Count,1
2019-09-11,Total Monitored Articles,532778
2019-09-12,Article Count,2
2019-09-12,Total Monitored Articles,537433
2019-09-13,Article Count,0
2019-09-13,Total Monitored Articles,494363
2019-09-14,Article Count,1
2019-09-14,Total Monitored Articles,313982
2019-09-15,Article Count,4
2019-09-15,Total Monitored Articles,295775
2019-09-16,Article Count,1
2019-09-16,Total Monitored Articles,497858
2019-09-17,Article Count,1
2019-09-17,Total Monitored Articles,529118
2019-09-18,Article Count,6
2019-09-18,Total Monitored Articles,542926
2019-09-19,Article Count,0
2019-09-19,Total Monitored Articles,542773
2019-09-20,Article Count,8
2019-09-20,Total Monitored Articles,515934
2019-09-21,Article Count,0
2019-09-21,Total Monitored Articles,310909
2019-09-22,Article Count,0
2019-09-22,Total Monitored Articles,294180
2019-09-23,Article Count,5
2019-09-23,Total Monitored Articles,486570
2019-09-24,Article Count,0
2019-09-24,Total Monitored Articles,528837
2019-09-25,Article Count,7
2019-09-25,Total Monitored Articles,539615
2019-09-26,Article Count,4
2019-09-26,Total Monitored Articles,533764
2019-09-27,Article Count,8
2019-09-27,Total Monitored Articles,509849
2019-09-28,Article Count,1
2019-09-28,Total Monitored Articles,308315
2019-09-29,Article Count,2
2019-09-29,Total Monitored Articles,287903
2019-09-30,Article Count,2
2019-09-30,Total Monitored Articles,437102
2019-10-01,Article Count,3
2019-10-01,Total Monitored Articles,514340
2019-10-02,Article Count,2
2019-10-02,Total Monitored Articles,505415
2019-10-03,Article Count,8
2019-10-03,Total Monitored Articles,503247
2019-10-04,Article Count,6
2019-10-04,Total Monitored Articles,487461
2019-10-05,Article Count,2
2019-10-05,Total Monitored Articles,302322
2019-10-06,Article Count,0
2019-10-06,Total Monitored Articles,272004
2019-10-07,Article Count,0
2019-10-07,Total Monitored Articles,462075
2019-10-08,Article Count,7
2019-10-08,Total Monitored Articles,503665
2019-10-09,Article Count,3
2019-10-09,Total Monitored Articles,512282
2019-10-10,Article Count,1
2019-10-10,Total Monitored Articles,522103
2019-10-11,Article Count,6
2019-10-11,Total Monitored Articles,496822
2019-10-12,Article Count,1
2019-10-12,Total Monitored Articles,308536
2019-10-13,Article Count,2
2019-10-13,Total Monitored Articles,276043
2019-10-14,Article Count,0
2019-10-14,Total Monitored Articles,457892
2019-10-15,Article Count,6
2019-10-15,Total Monitored Articles,512878
2019-10-16,Article Count,0
2019-10-16,Total Monitored Articles,534395
2019-10-17,Article Count,7
2019-10-17,Total Monitored Articles,523905
2019-10-18,Article Count,6
2019-10-18,Total Monitored Articles,500159
2019-10-19,Article Count,2
2019-10-19,Total Monitored Articles,299066
2019-10-20,Article Count,0
2019-10-20,Total Monitored Articles,268642
2019-10-21,Article Count,2
2019-10-21,Total Monitored Articles,477898
2019-10-22,Article Count,4
2019-10-22,Total Monitored Articles,513629
2019-10-23,Article Count,3
2019-10-23,Total Monitored Articles,512089
2019-10-24,Article Count,7
2019-10-24,Total Monitored Articles,517482
2019-10-25,Article Count,3
2019-10-25,Total Monitored Articles,492241
2019-10-26,Article Count,1
2019-10-26,Total Monitored Articles,298603
2019-10-27,Article Count,0
2019-10-27,Total Monitored Articles,274414
2019-10-28,Article Count,4
2019-10-28,Total Monitored Articles,457281
2019-10-29,Article Count,4
2019-10-29,Total Monitored Articles,505654
2019-10-30,Article Count,4
2019-10-30,Total Monitored Articles,524098
2019-10-31,Article Count,5
